Catchment,monitor_name,DAY,Class,Updated_Class,max_depth,min_depth,ave_depth,std_dev_depth,zero_depth,max_velocity,min_velocity,ave_velocity,std_dev_velocity,zero_velocity,m_type
IGOMSC,FM005,28/02/2018,B,B,1651,1473,1574.573611,60.25052125,0,0.04,0,6.94E-05,0.001536088,718,FM
IGOMSC,FM005,19/01/2018,L,L,67,24,36.12777778,7.555841668,0,0.43,0,0.213569444,0.104967884,29,FM
IGOMSC,FM005,11/12/2017,E,E,1031,28,288.8166667,349.3769575,0,0.32,0,0.020430556,0.052996005,591,FM
IGOMSC,FM005,25/02/2018,B,B,1636,217,1110.590278,566.219184,0,0.01,0,2.78E-05,0.00052668,718,FM
IGOMSC,FM005,14/01/2018,L,L,62,22,33.99583333,8.102351819,0,0.41,0,0.203055556,0.093294498,12,FM
IGOMSC,FM005,26/12/2017,L,L,1605,22,97.97361111,259.4802993,0,0.4,0,0.217569444,0.093979006,11,FM
IGOMSC,FM005,02/01/2018,L,L,73,30,46.66805556,10.39522634,0,0.43,0,0.190027778,0.124141555,79,FM
IGOMSC,FM005,20/12/2017,L,L,56,0,33.16527778,7.323000132,5,0.35,0,0.134763889,0.10144135,134,FM
IGOMSC,FM005,26/01/2018,L,L,65,23,32.83333333,5.775349275,0,0.4,0,0.229069444,0.094967065,9,FM
IGOMSC,FM005,13/12/2017,E,E,414,30,52.54583333,53.62698249,0,0.49,0,0.207013889,0.094435442,16,FM
IGOMSC,FM005,22/12/2017,L,L,54,15,27.25138889,7.704874332,0,0.34,0,0.090569444,0.101616055,260,FM
IGOMSC,FM005,02/03/2018,B,B,1673,1462,1567.022222,67.5770579,0,0,0,0,0,720,FM
IGOMSC,FM005,23/12/2017,L,L,62,17,31.13611111,9.070781863,0,0.38,0,0.118930556,0.116109131,210,FM
IGOMSC,FM005,27/02/2018,B,B,1659,1473,1572.429167,58.62054005,0,0,0,0,0,720,FM
IGOMSC,FM005,06/12/2017,L,L,55,19,37.91388889,5.865988471,0,0.37,0,0.130958333,0.095211051,69,FM
IGOMSC,FM005,21/01/2018,E,E,921,22,175.775,282.1925174,0,0.48,0,0.184736111,0.142567115,77,FM
IGOMSC,FM005,24/01/2018,Ev,E,1459,0,302.6861111,494.5530667,2,0.45,0,0.192680556,0.119659499,44,FM
IGOMSC,FM005,17/02/2018,L,L,59,20,28.99583333,6.357345198,0,0.39,0,0.179736111,0.104025044,55,FM
IGOMSC,FM005,30/12/2017,L,L,1474,38,286.7458333,445.5646205,0,0.5,0,0.187819444,0.101878575,6,FM
IGOMSC,FM005,10/12/2017,E,E,1732,20,820.6041667,703.7447462,0,0.36,0,0.035694444,0.074219656,456,FM
IGOMSC,FM005,14/02/2018,E,E,766,18,128.8208333,224.0759976,0,0.41,0,0.066930556,0.101309346,402,FM
IGOMSC,FM005,16/01/2018,L,L,73,38,48.84027778,6.033821221,0,0.47,0,0.259236111,0.089486869,3,FM
IGOMSC,FM005,24/12/2017,L,L,61,18,32.42916667,8.338825149,0,0.39,0,0.156333333,0.116649565,149,FM
IGOMSC,FM005,02/02/2018,L,L,55,26,35.71944444,5.514341875,0,0.43,0,0.207194444,0.101868037,15,FM
IGOMSC,FM005,10/01/2018,Lv,L,71,0,43.21805556,9.931389475,3,0.47,0,0.192541667,0.116608595,17,FM
IGOMSC,FM005,15/02/2018,Lv,L,237,0,35.22083333,21.25701676,3,0.37,0,0.073472222,0.117049491,501,FM
IGOMSC,FM005,09/01/2018,L,L,69,33,44.35416667,6.446817578,0,0.37,0,0.195347222,0.09502736,9,FM
IGOMSC,FM005,19/02/2018,E,E,822,15,167.8319444,266.6685541,0,0.45,0,0.115222222,0.118042474,235,FM
IGOMSC,FM005,09/02/2018,E,E,1052,36,345.5888889,379.1347816,0,0.46,0,0.141833333,0.125817383,152,FM
IGOMSC,FM005,01/01/2018,L,L,110,33,43.43611111,7.619521549,0,0.51,0,0.157847222,0.1125131,56,FM
IGOMSC,FM005,10/02/2018,E,E,891,38,285.85,288.3773938,0,0.4,0,0.093833333,0.123522816,270,FM
IGOMSC,FM005,15/12/2017,L,L,81,33,48.40416667,10.09767235,0,0.48,0,0.196652778,0.118987577,40,FM
IGOMSC,FM005,21/02/2018,L,L,56,17,28.01527778,6.54404484,0,0.4,0,0.143083333,0.109480725,108,FM
IGOMSC,FM005,14/12/2017,Lv,L,73,0,43.01111111,7.155525512,4,0.44,0,0.206375,0.098772992,28,FM
IGOMSC,FM005,27/12/2017,L,L,2200,35,1300.201389,853.2042784,0,0.41,0.01,0.168263889,0.081918324,0,FM
IGOMSC,FM005,12/02/2018,L,L,63,23,38.14583333,8.551869677,0,0.4,0,0.190305556,0.109296224,42,FM
IGOMSC,FM005,23/02/2018,L,L,70,22,31.40138889,7.056793116,0,0.55,0,0.207777778,0.103702289,11,FM
IGOMSC,FM005,23/01/2018,E,E,530,24,77.64444444,118.5269403,0,0.45,0,0.184138889,0.130461181,102,FM
IGOMSC,FM005,13/01/2018,L,L,63,21,31.86666667,7.272865721,0,0.47,0,0.214763889,0.092642852,1,FM
IGOMSC,FM005,26/02/2018,B,B,1638,1457,1561.988889,52.77753862,0,0,0,0,0,720,FM
IGOMSC,FM005,17/12/2017,L,L,68,29,43.57222222,10.42519178,0,0.4,0,0.133694444,0.116255754,169,FM
IGOMSC,FM005,27/01/2018,L,L,70,21,33.42083333,9.057495801,0,0.43,0,0.180708333,0.118297724,85,FM
IGOMSC,FM005,07/02/2018,L,L,73,22,34.17638889,7.925294325,0,0.42,0,0.192097222,0.112480771,56,FM
IGOMSC,FM005,16/02/2018,L,L,62,19,31.3,7.714949453,0,0.4,0,0.202875,0.110609317,62,FM
IGOMSC,FM005,08/01/2018,L,L,70,38,48.14166667,6.315042641,0,0.38,0,0.183194444,0.093251069,39,FM
IGOMSC,FM005,17/01/2018,L,L,73,31,41.45694444,6.952517807,0,0.45,0,0.212847222,0.109599493,35,FM
IGOMSC,FM005,20/01/2018,L,L,63,24,36.75138889,7.923179372,0,0.42,0,0.205638889,0.10106186,2,FM
IGOMSC,FM005,25/12/2017,L,L,206,19,35.71805556,21.81155113,0,0.49,0,0.20525,0.110232748,64,FM
IGOMSC,FM005,04/01/2018,Lv,L,91,0,41.60694444,11.95272126,5,0.45,0,0.196027778,0.121769747,75,FM
IGOMSC,FM005,19/12/2017,L,L,59,29,38.99305556,6.323561838,0,0.38,0,0.115361111,0.101327119,153,FM
IGOMSC,FM005,12/01/2018,L,L,62,19,29.67777778,6.540262001,0,0.44,0,0.188222222,0.089771185,14,FM
IGOMSC,FM005,06/01/2018,E,E,1673,24,356.8416667,538.348187,0,0.39,0,0.131611111,0.120022779,200,FM
IGOMSC,FM005,29/12/2017,L,L,1693,26,347.3375,549.0570029,0,0.5,0,0.188208333,0.127728571,43,FM
IGOMSC,FM005,29/01/2018,E,E,695,21,81.56527778,143.2307481,0,0.47,0,0.185694444,0.110242196,75,FM
IGOMSC,FM005,07/12/2017,L,L,199,26,44.925,28.31901394,0,0.44,0,0.112388889,0.119109416,215,FM
IGOMSC,FM005,13/02/2018,L,L,58,24,36.57777778,6.777164928,0,0.44,0,0.184305556,0.122407768,89,FM
IGOMSC,FM005,15/01/2018,E,E,828,28,191.0097222,234.3744817,0,0.48,0,0.2175,0.094127277,4,FM
IGOMSC,FM005,01/03/2018,B,B,1676,1426,1555.215278,68.15103933,0,0,0,0,0,720,FM
IGOMSC,FM005,21/12/2017,L,L,50,17,28.0375,7.687388974,0,0.36,0,0.107986111,0.114228256,237,FM
IGOMSC,FM005,06/02/2018,L,L,70,30,41.03611111,6.775052526,0,0.4,0,0.156902778,0.10816328,77,FM
IGOMSC,FM005,11/02/2018,L,L,176,32,48.97638889,13.08996359,0,0.47,0,0.235305556,0.10907968,13,FM
IGOMSC,FM005,18/01/2018,Lv,L,77,0,44.05416667,9.106607629,3,0.5,0,0.222569444,0.114012337,9,FM
IGOMSC,FM005,03/03/2018,B,B,1871,1525,1736.340278,102.3822614,0,0,0,0,0,720,FM
IGOMSC,FM005,04/02/2018,L,L,68,30,40.68472222,7.14166524,0,0.41,0,0.197180556,0.095650736,12,FM
IGOMSC,FM005,18/12/2017,L,L,64,26,37.325,7.132946731,0,0.4,0,0.127472222,0.111000003,168,FM
IGOMSC,FM005,07/01/2018,L,L,76,37,51.15138889,9.003205936,0,0.42,0,0.203152778,0.094297366,16,FM
IGOMSC,FM005,05/02/2018,L,L,59,29,40.74583333,7.214427623,0,0.37,0,0.171194444,0.094718474,31,FM
IGOMSC,FM005,08/12/2017,L,L,65,20,32.00138889,6.9695342,0,0.39,0,0.097180556,0.089552873,166,FM
IGOMSC,FM005,22/01/2018,L,L,68,27,39.20277778,6.585734408,0,0.45,0,0.255916667,0.097730826,14,FM
IGOMSC,FM005,16/12/2017,L,L,66,31,41.76944444,6.609906143,0,0.37,0,0.121347222,0.102639662,123,FM
IGOMSC,FM005,30/01/2018,L,L,61,28,39.49305556,6.431620132,0,0.4,0,0.19525,0.108512223,34,FM
IGOMSC,FM005,04/03/2018,B,B,1880,36,1235.063889,698.0089776,0,0.47,0,0.077125,0.124755944,468,FM
IGOMSC,FM005,20/02/2018,E,E,484,19,86.82222222,133.7231756,0,0.49,0,0.158416667,0.115733105,111,FM
IGOMSC,FM005,18/02/2018,L,L,90,15,29.64444444,12.59936737,0,0.38,0,0.165347222,0.108110033,88,FM
IGOMSC,FM005,12/12/2017,E,E,979,25,179.8791667,280.0442208,0,0.38,0,0.123666667,0.124362743,300,FM
IGOMSC,FM005,03/02/2018,L,L,69,26,38.72638889,8.199960871,0,0.41,0,0.2005,0.112559179,56,FM
IGOMSC,FM005,24/02/2018,L,L,218,19,50.69305556,50.39544824,0,0.42,0,0.147069444,0.121100175,180,FM
IGOMSC,FM005,05/01/2018,E,E,98,27,39.89166667,11.1104926,0,0.48,0,0.200236111,0.115484466,60,FM
IGOMSC,FM005,01/02/2018,Lv,L,291,0,55.11944444,52.63266208,2,0.45,0,0.172263889,0.135986632,190,FM
IGOMSC,FM006,08/02/2018,Qv,Q,90,0,62.52083333,9.755971567,2,0.32,0,0.193305556,0.078077854,2,FM
IGOMSC,FM006,31/12/2017,Q,Q,104,53,67.48472222,8.574619853,0,0.39,0.24,0.301513889,0.030119139,0,FM
IGOMSC,FM006,22/02/2018,Ev,E,230,0,70.98333333,30.49147262,1,0.33,0,0.205611111,0.058814566,5,FM
IGOMSC,FM006,25/01/2018,Q,Q,83,43,55.7,7.703042045,0,0.36,0.15,0.255444444,0.046990926,0,FM
